bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
MO:2026:HB3233,MO,Missouri,HB 3233,House,Prohibits wearing face coverings at any assembly at public buildings,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3234,MO,Missouri,HB 3234,House,Modifies provisions relating to the recovery of public assistance funds from recipients' estates,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3235,MO,Missouri,HB 3235,House,Modifies and repeals provisions relating to duties of the joint committee on education,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3236,MO,Missouri,HB 3236,House,Authorizes certain counties to opt in to an exemption from state and local sales and use tax on certain building supplies,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3237,MO,Missouri,HB 3237,House,Modifies provisions relating to certain tourism tax proceeds,bill,in_committee,active,,,,,2026-03-31,1,legiscan,6200000,0,0,,97,
MO:2026:HB3238,MO,Missouri,HB 3238,House,Modifies and establishes provisions relating to elementary and secondary education,bill,introduced,active,,,,,2026-03-26,1,legiscan,6200000,0,0,,102,
MO:2026:HB3239,MO,Missouri,HB 3239,House,Establishes and modifies provisions relating to adult education,bill,passed_chamber,active,,,,,2026-04-21,1,legiscan,6200000,0,1,,76,
MO:2026:HB3240,MO,Missouri,HB 3240,House,Modifies the definition of sanctuary policy,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3241,MO,Missouri,HB 3241,House,Requires the judge or juror who declared death as a punishment to witness the execution,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3242,MO,Missouri,HB 3242,House,Enacts provisions governing maximum percentages of local real property tax levies,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3243,MO,Missouri,HB 3243,House,Establishes provisions regarding placement of a child if a child's parent or legal guardian has been subject to a federal enforcement action,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3244,MO,Missouri,HB 3244,House,Modifies provisions relating to assisted reproductive technology,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3245,MO,Missouri,HB 3245,House,Prohibits temporary assistance for needy families (TANF) benefit cards from being used at ATMs or to access cash,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3246,MO,Missouri,HB 3246,House,Modifies the Principal and Income Act to resemble the latest version of the Uniform Fiduciary Income and Principal Act,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3247,MO,Missouri,HB 3247,House,Modifies the definition of food to authorize a reduced sales tax on the purchase of dietary and nutritional supplements,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3248,MO,Missouri,HB 3248,House,Authorizes a sales tax exemption for supplies needed to care for infants,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3249,MO,Missouri,HB 3249,House,Extends the jet fuel sales tax exemption until 2043,bill,introduced,active,,,,,2026-04-29,1,legiscan,6200000,0,0,,68,
MO:2026:HB3250,MO,Missouri,HB 3250,House,Requires schools to create a policy requiring parent permission for students to participate in protest activities,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3251,MO,Missouri,HB 3251,House,Provides certain immunity to a political subdivision that operates a newborn safety incubator or accepts physical custody of a child placed in a newborn safety incubator,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3252,MO,Missouri,HB 3252,House,Establishes provisions relating to persons lacking mental capacity to understand certain proceedings,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3253,MO,Missouri,HB 3253,House,Modifies provisions relating to property tax,bill,introduced,active,,,,,2026-03-12,1,legiscan,6200000,0,0,,116,
MO:2026:HB3254,MO,Missouri,HB 3254,House,Modifies provisions relating to property tax,bill,introduced,active,,,,,2026-03-12,1,legiscan,6200000,0,0,,116,
MO:2026:HB3255,MO,Missouri,HB 3255,House,"Establishes the ""Missouri Universal Health Assurance Program"" to provide a publicly financed, statewide insurance program for all residents of the state",bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3256,MO,Missouri,HB 3256,House,Requires retail businesses to accept cash as payment,bill,introduced,active,,,,,2026-04-02,1,legiscan,6200000,0,0,,95,
MO:2026:HB3257,MO,Missouri,HB 3257,House,"Establishes the offense of impeding, threatening, or harassing a first responder",bill,introduced,active,,,,,2026-04-14,1,legiscan,6200000,0,0,,83,
MO:2026:HB3258,MO,Missouri,HB 3258,House,Creates new provisions relating to employment practices involving warehouse distribution centers,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3259,MO,Missouri,HB 3259,House,Modifies provisions relating to unlawful or riotous assemblages,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3260,MO,Missouri,HB 3260,House,Establishes a program for providing paid leave for parents working in a child's school and authorizes a tax credit for fifty percent of the hourly wage paid to a participant in the program,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3261,MO,Missouri,HB 3261,House,Provides certain immunity to a political subdivision that operates a newborn safety incubator or accepts physical custody of a child placed in a newborn safety incubator,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3262,MO,Missouri,HB 3262,House,"Establishes the ""Interstate Massage Compact""",bill,introduced,active,,,,,2026-04-23,1,legiscan,6200000,0,0,,74,
MO:2026:HB3263,MO,Missouri,HB 3263,House,Modifies provisions for elections,bill,introduced,active,,,,,2026-02-12,1,legiscan,6200000,0,0,,144,
MO:2026:HB3264,MO,Missouri,HB 3264,House,"Designates the city of Kansas City as the ""Barbecue Capital"" of the state of Missouri",bill,introduced,active,,,,,2026-03-12,1,legiscan,6200000,0,0,,116,
MO:2026:HB3265,MO,Missouri,HB 3265,House,Eliminates fines and fees for cases in juvenile court,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
